   1,    1, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_001.png', cX=  37, cY= 225, Frame=   150
   1,   19, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_019.png', cX=  37, cY= 226, Frame=   168
   1,   20, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_020.png', cX=  37, cY= 226, Frame=   169
   1,   21, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_021.png', cX=  37, cY= 226, Frame=   170
   1,   22, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_001\Image_022.png', cX=  37, cY= 226, Frame=   171
   2,    1, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_001.png', cX=1357, cY=1118, Frame=   172
   2,    2, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_002.png', cX=1417, cY=1118, Frame=   173
   2,    3, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_003.png', cX=1478, cY=1118, Frame=   174
   2,    4, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_004.png', cX=1539, cY=1118, Frame=   175
   2,    5, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_005.png', cX=1599, cY=1117, Frame=   176
   2,    6, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_006.png', cX=1660, cY=1117, Frame=   177
   2,    7, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_007.png', cX=1721, cY=1118, Frame=   178
   2,    8, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_008.png', cX=1781, cY=1117, Frame=   179
   2,    9, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_009.png', cX=1841, cY=1117, Frame=   180
   2,   10, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_010.png', cX=1902, cY=1116, Frame=   181
   2,   11, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_011.png', cX=1962, cY=1115, Frame=   182
   2,   12, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_012.png', cX=2021, cY=1116, Frame=   183
   2,   13, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_013.png', cX=2081, cY=1115, Frame=   184
   2,   14, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_014.png', cX=2140, cY=1114, Frame=   185
   2,   15, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_015.png', cX=2200, cY=1113, Frame=   186
   2,   16, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_016.png', cX=2260, cY=1113, Frame=   187
   2,   17, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_017.png', cX=2320, cY=1113, Frame=   188
   2,   18, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_018.png', cX=2380, cY=1112, Frame=   189
   2,   19, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_019.png', cX=2438, cY=1111, Frame=   190
   2,   20, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_020.png', cX=2497, cY=1110, Frame=   191
   2,   21, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_021.png', cX=2556, cY=1110, Frame=   192
   2,   22, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_022.png', cX=2614, cY=1110, Frame=   193
   2,   23, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_023.png', cX=2671, cY=1109, Frame=   194
   2,   24, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_024.png', cX=2730, cY=1108, Frame=   195
   3,    1, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_001.png', cX= 892, cY=2011, Frame=   196
   2,   25, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_025.png', cX=2847, cY=1108, Frame=   197
   3,    2, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_002.png', cX= 938, cY=2016, Frame=   197
   2,   26, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_026.png', cX=2904, cY=1107, Frame=   198
   3,    3, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_003.png', cX= 984, cY=2021, Frame=   198
   3,    4, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_004.png', cX=1030, cY=2025, Frame=   199
   2,   27, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_027.png', cX=3021, cY=1106, Frame=   200
   3,    5, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_005.png', cX=1076, cY=2028, Frame=   200
   2,   28, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_028.png', cX=3078, cY=1105, Frame=   201
   3,    6, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_006.png', cX=1122, cY=2031, Frame=   201
   2,   29, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_029.png', cX=3135, cY=1105, Frame=   202
   3,    7, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_007.png', cX=1169, cY=2033, Frame=   202
   2,   30, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_030.png', cX=3192, cY=1105, Frame=   203
   3,    8, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_008.png', cX=1216, cY=2035, Frame=   203
   2,   31, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_031.png', cX=3248, cY=1105, Frame=   204
   3,    9, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_009.png', cX=1263, cY=2035, Frame=   204
   2,   32, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_032.png', cX=3304, cY=1106, Frame=   205
   3,   10, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_010.png', cX=1311, cY=2036, Frame=   205
   2,   33, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_033.png', cX=3360, cY=1105, Frame=   206
   3,   11, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_011.png', cX=1359, cY=2036, Frame=   206
   2,   34, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_034.png', cX=3415, cY=1106, Frame=   207
   3,   12, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_012.png', cX=1408, cY=2036, Frame=   207
   2,   35, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_035.png', cX=3470, cY=1107, Frame=   208
   3,   13, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_013.png', cX=1457, cY=2036, Frame=   208
   3,   14, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_014.png', cX=1507, cY=2035, Frame=   209
   2,   36, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_002\Image_036.png', cX=3578, cY=1112, Frame=   210
   3,   15, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_015.png', cX=1557, cY=2034, Frame=   210
   3,   16, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_016.png', cX=1607, cY=2033, Frame=   211
   3,   17, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_017.png', cX=1656, cY=2032, Frame=   212
   3,   18, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_018.png', cX=1706, cY=2032, Frame=   213
   3,   19, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_019.png', cX=1755, cY=2031, Frame=   214
   3,   20, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_020.png', cX=1805, cY=2030, Frame=   215
   3,   21, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_021.png', cX=1855, cY=2029, Frame=   216
   3,   22, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_022.png', cX=1905, cY=2029, Frame=   217
   3,   23, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_023.png', cX=1956, cY=2029, Frame=   218
   3,   24, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_024.png', cX=2006, cY=2029, Frame=   219
   3,   25, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_025.png', cX=2057, cY=2028, Frame=   220
   3,   26, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_026.png', cX=2106, cY=2028, Frame=   221
   3,   27, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_027.png', cX=2156, cY=2028, Frame=   222
   3,   28, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_028.png', cX=2205, cY=2028, Frame=   223
   3,   29, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_029.png', cX=2255, cY=2029, Frame=   224
   3,   30, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_030.png', cX=2304, cY=2029, Frame=   225
   3,   31, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_031.png', cX=2353, cY=2029, Frame=   226
   3,   32, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_032.png', cX=2402, cY=2030, Frame=   227
   3,   33, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_033.png', cX=2451, cY=2031, Frame=   228
   3,   34, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_034.png', cX=2499, cY=2032, Frame=   229
   3,   35, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_035.png', cX=2547, cY=2032, Frame=   230
   3,   36, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_036.png', cX=2595, cY=2032, Frame=   231
   3,   37, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_037.png', cX=2642, cY=2033, Frame=   232
   3,   38, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_038.png', cX=2690, cY=2033, Frame=   233
   3,   39, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_039.png', cX=2736, cY=2033, Frame=   234
   4,    1, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_001.png', cX= 894, cY=1977, Frame=   235
   5,    1, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_001.png', cX= 917, cY= 457, Frame=   235
   3,   40, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_040.png', cX=2831, cY=2032, Frame=   236
   4,    2, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_002.png', cX= 927, cY=1981, Frame=   236
   5,    2, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_002.png', cX= 936, cY= 457, Frame=   236
   3,   41, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_041.png', cX=2878, cY=2033, Frame=   237
   4,    3, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_003.png', cX= 959, cY=1985, Frame=   237
   5,    3, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_003.png', cX= 954, cY= 457, Frame=   237
   3,   42, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_042.png', cX=2925, cY=2032, Frame=   238
   4,    4, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_004.png', cX= 992, cY=1987, Frame=   238
   5,    4, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_004.png', cX= 973, cY= 457, Frame=   238
   3,   43, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_043.png', cX=2973, cY=2033, Frame=   239
   4,    5, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_005.png', cX=1026, cY=1990, Frame=   239
   3,   44, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_044.png', cX=3020, cY=2032, Frame=   240
   4,    6, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_006.png', cX=1058, cY=1992, Frame=   240
   3,   45, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_045.png', cX=3067, cY=2031, Frame=   241
   4,    7, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_007.png', cX=1092, cY=1993, Frame=   241
   5,    5, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_005.png', cX=1027, cY= 458, Frame=   241
   3,   46, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_046.png', cX=3114, cY=2031, Frame=   242
   4,    8, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_008.png', cX=1126, cY=1995, Frame=   242
   5,    6, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_006.png', cX=1045, cY= 457, Frame=   242
   3,   47, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_047.png', cX=3161, cY=2031, Frame=   243
   4,    9, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_009.png', cX=1159, cY=1996, Frame=   243
   5,    7, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_007.png', cX=1064, cY= 458, Frame=   243
   3,   48, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_048.png', cX=3208, cY=2031, Frame=   244
   4,   10, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_010.png', cX=1192, cY=1996, Frame=   244
   5,    8, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_008.png', cX=1082, cY= 458, Frame=   244
   3,   49, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_049.png', cX=3255, cY=2031, Frame=   245
   4,   11, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_011.png', cX=1225, cY=1997, Frame=   245
   5,    9, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_009.png', cX=1100, cY= 458, Frame=   245
   3,   50, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_050.png', cX=3302, cY=2030, Frame=   246
   4,   12, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_012.png', cX=1259, cY=1997, Frame=   246
   3,   51, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_051.png', cX=3349, cY=2030, Frame=   247
   4,   13, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_013.png', cX=1294, cY=1997, Frame=   247
   3,   52, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_052.png', cX=3395, cY=2030, Frame=   248
   4,   14, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_014.png', cX=1328, cY=1997, Frame=   248
   3,   53, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_053.png', cX=3442, cY=2030, Frame=   249
   4,   15, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_015.png', cX=1362, cY=1998, Frame=   249
   5,   10, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_010.png', cX=1173, cY= 457, Frame=   249
   3,   54, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_054.png', cX=3490, cY=2030, Frame=   250
   4,   16, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_016.png', cX=1397, cY=1998, Frame=   250
   5,   11, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_011.png', cX=1191, cY= 457, Frame=   250
   6,    1, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_001.png', cX= 216, cY=1189, Frame=   250
   3,   55, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_055.png', cX=3537, cY=2029, Frame=   251
   4,   17, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_017.png', cX=1432, cY=1997, Frame=   251
   5,   12, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_012.png', cX=1209, cY= 458, Frame=   251
   6,    2, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_002.png', cX= 271, cY=1187, Frame=   251
   3,   56, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_056.png', cX=3584, cY=2029, Frame=   252
   4,   18, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_018.png', cX=1467, cY=1998, Frame=   252
   5,   13, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_013.png', cX=1226, cY= 457, Frame=   252
   6,    3, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_003.png', cX= 324, cY=1185, Frame=   252
   3,   57, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_057.png', cX=3630, cY=2029, Frame=   253
   4,   19, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_019.png', cX=1503, cY=1998, Frame=   253
   6,    4, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_004.png', cX= 376, cY=1183, Frame=   253
   3,   58, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_058.png', cX=3677, cY=2029, Frame=   254
   4,   20, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_020.png', cX=1536, cY=1998, Frame=   254
   6,    5, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_005.png', cX= 428, cY=1180, Frame=   254
   3,   59, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_059.png', cX=3723, cY=2028, Frame=   255
   4,   21, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_021.png', cX=1571, cY=1996, Frame=   255
   6,    6, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_006.png', cX= 481, cY=1178, Frame=   255
   3,   60, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_060.png', cX=3770, cY=2028, Frame=   256
   4,   22, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_022.png', cX=1606, cY=1996, Frame=   256
   5,   14, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_014.png', cX=1294, cY= 458, Frame=   256
   6,    7, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_007.png', cX= 536, cY=1177, Frame=   256
   3,   61, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_061.png', cX=3817, cY=2027, Frame=   257
   4,   23, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_023.png', cX=1642, cY=1995, Frame=   257
   5,   15, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_015.png', cX=1311, cY= 458, Frame=   257
   6,    8, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_008.png', cX= 589, cY=1175, Frame=   257
   3,   62, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_062.png', cX=3865, cY=2027, Frame=   258
   4,   24, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_024.png', cX=1676, cY=1994, Frame=   258
   5,   16, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_016.png', cX=1329, cY= 458, Frame=   258
   6,    9, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_009.png', cX= 642, cY=1172, Frame=   258
   3,   63, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_063.png', cX=3914, cY=2025, Frame=   259
   4,   25, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_025.png', cX=1712, cY=1994, Frame=   259
   5,   17, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_017.png', cX=1347, cY= 458, Frame=   259
   6,   10, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_010.png', cX= 696, cY=1171, Frame=   259
   3,   64, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_064.png', cX=3962, cY=2024, Frame=   260
   4,   26, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_026.png', cX=1748, cY=1993, Frame=   260
   6,   11, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_011.png', cX= 748, cY=1167, Frame=   260
   3,   65, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_065.png', cX=4010, cY=2024, Frame=   261
   4,   27, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_027.png', cX=1782, cY=1993, Frame=   261
   6,   12, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_012.png', cX= 800, cY=1162, Frame=   261
   3,   66, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_003\Image_066.png', cX=4058, cY=2024, Frame=   262
   4,   28, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_004\Image_028.png', cX=1818, cY=1992, Frame=   262
   5,   18, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_018.png', cX=1399, cY= 457, Frame=   262
   6,   13, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_013.png', cX= 848, cY=1158, Frame=   262
   5,   19, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_019.png', cX=1416, cY= 458, Frame=   263
   6,   14, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_014.png', cX= 894, cY=1158, Frame=   263
   5,   20, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_020.png', cX=1432, cY= 458, Frame=   264
   6,   15, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_006\Image_015.png', cX= 940, cY=1152, Frame=   264
   5,   21, '..\VideoTestCases\12-27-24 Ostracod Run 2 Image 4\Images_001\Object_005\Image_021.png', cX=1449, cY= 458, Frame=   265
